province_code,city_code,code,name
ZS,010,054,槐树林特场管委会
ZS,010,056,工业园区
ZS,010,125,新港经济开发管理处
ZS,015,017,新港经济开发管理处
ZS,017,017,槐树林特场管委会
ZS,017,019,工业园区
LN,001,001,香港岛
LN,002,001,新界
LN,003,001,澳门半岛
LN,004,017,保税区
LN,004,018,三溪科创小镇发展中心
LN,004,019,洪湾商贸物流中心
GD,001,164,黄龙带水库
GD,011,009,黄龙带水库
GD,026,011,深圳市宝安国际机场
GD,040,008,省三水劳教所
GD,040,009,省南丰劳教所
GD,040,010,省女子劳教所
GD,040,011,省第二戒毒劳教所
GD,041,005,高明监狱
GD,041,008,佛山监狱
GD,044,012,圭峰区
GD,044,013,银湖湾
GD,044,015,工业园区
GD,070,014,广东省济广监狱
GD,074,017,惠东县港口海龟湾自然保护区
GD,074,018,莲花山白盆珠省级自然保护区
GD,074,019,广东惠东古田省级自然保护区
GD,074,020,惠东县珠三角产业转移园
GD,074,021,巺寮滨海旅游度假区
GD,075,012,南昆山生态旅游区
GD,077,020,梅西水库
GD,086,023,星都经济开发试验区
GD,093,013,阳江林场罗琴分场
GD,094,012,阳江监狱
GD,094,013,阳江林场宝山分场
GD,094,014,阳江林场田畔分场
GD,094,017,阳江林场东岸分场
GD,095,009,阳江林场儒洞分场
GD,096,022,南山矿
GD,096,023,阳春监狱
GD,096,024,硫铁矿
GD,099,008,广东佛冈观音山省级自然保护区
GD,101,018,连山飞地经济区
GD,126,001,松山湖
GD,137,001,东莞港
GD,138,001,东莞生态园
GD,149,008,省三水劳教所
GD,149,009,省南丰劳教所
GD,149,010,省女子劳教所
GD,149,011,省第二戒毒劳教所
GD,163,011,开发区
GD,167,018,蓝城区工业园区管理处
GD,168,023,县苗圃场
GD,169,019,揭阳（惠来）沿海经济开发试验区
GD,173,011,七台河经济开发区管理委员会
GX,001,017,青秀山
GX,001,027,经济技术开发区
GX,001,043,高新技术开发区
GX,001,070,南宁华侨投资区
GX,003,011,青秀山
GX,004,010,经济技术开发区
GX,005,015,高新技术开发区
GX,008,014,南宁华侨投资区
GX,027,006,桂林华侨旅游经济区管理委员会
GX,053,014,小峰经济作物场
GX,075,013,德保铝业
GX,083,013,平果铝
GX,100,025,来华投资区
GX,107,012,中国东盟南宁空港扶绥经济区
GX,107,013,扶绥县木业家居产业集聚区
FJ,001,116,罗源湾
FJ,001,185,江镜华侨
FJ,001,186,东阁华侨
FJ,010,012,罗源湾
FJ,014,025,江镜华侨
FJ,014,026,东阁华侨
FJ,018,008,省天马种猪场
FJ,024,013,后海管理局
FJ,031,019,东风农场生活区
FJ,033,015,海西三明生态工贸区
FJ,046,001,金门县
FJ,050,011,芗城区奶牛场
FJ,053,023,南山华侨茶果场
FJ,054,019,诏安金都工业集中区
FJ,055,008,马洋溪生态旅游区
FJ,056,008,鹤岗市林业局生活区
FJ,059,010,福建土楼（华安）旅游区
FJ,060,017,良种场
FJ,085,024,湾坞工业集中区
HN,001,031,省岭脚热带作物场
HN,001,045,海口桂林洋经济开发区（农场）
HN,004,012,省岭脚热带作物场
HN,005,014,海口桂林洋经济开发区（农场）
HN,006,001,海棠区直辖村级区划
HN,007,001,吉阳区直辖村级区划
HN,008,001,天涯区直辖村级区划
HN,009,001,崖州区直辖村级区划
HN,010,001,永兴
HN,010,002,永乐
HN,010,003,七连屿
HN,011,001,永暑岛
HN,014,013,南丰县长红垦殖场
HN,028,005,县直辖村级区划
